sys.exec.out.time {s},rkt.newton.lonx {degree},rkt.newton.latx {degree},rkt.newton.alt {m},rkt.newton._psivdx {degree},rkt.newton._thtvdx {degree},rkt.newton._dvbi {m/s},rkt.newton._SBII[0] {m},rkt.newton._SBII[1] {m},rkt.newton._SBII[2] {m},rkt.newton._VBII[0] {m/s},rkt.newton._VBII[1] {m/s},rkt.newton._VBII[2] {m/s},rkt.kinematics.alphax {degree},rkt.kinematics.betax {degree},rkt.env.atmosphere[0].density {kg/m3},rkt.env.vmach {--},rkt.env.pdynmc {pa},rkt.propulsion.vmass {kg},rkt.propulsion.fmassr {kg},rkt.propulsion.thrust {N}
                   0,   120.8935051780724,   22.13891698558052,   99.99921988323331,   89.69551351108353, -0.7483550187645018,   431.0207599365048,  -3034853.609363913,   5072175.581068086,   2388797.027365529,   -369.868876373404,  -221.3050152764679,                   0,                   0,                   0,   1.213282959053678,                   0,                   0,               14068,                   0,                   0
                 0.1,   120.8935051780724,   22.13891698558052,   99.99921988416463,   90.01885375611602, 0.04634086896216691,   431.0207599367344,  -3034890.596170861,   5072153.450431703,   2388797.027365529,  -369.8672625821458,  -221.3077123970831,                   0,                   0,                   0,   1.213283050122987,6.718694981510406e-13,3.163952705421353e-20,               14068,                   0,                   0
                 0.2,   120.8935051780724,   22.13891698558052,   99.99921988509595,   90.01341530003415,  0.0329736276215201,   431.0207599369638,  -3034927.582816429,   5072131.319525609,   2388797.027365529,  -369.8656487712198,  -221.3104095059302,                   0,                   0,                   0,   1.213283050122878,1.346850780659754e-12,1.271449447107319e-19,               14068,                   0,                   0
                 0.3,   120.8935051780724,   22.13891698558052,   99.99921988602728,   90.01140226065462, 0.02802575480144324,   431.0207599371932,  -3034964.569300614,   5072109.188349804,   2388797.027365529,   -369.864034940626,  -221.3131066030091,                   0,                   0,                   0,   1.213283050122878,2.021300736259208e-12,2.863663611515182e-19,               14068,                   0,                   0
                 0.4,   120.8935051780724,   22.13891698558052,   99.99921988509595,   90.00647095046141,  0.0159050285793106,   431.0207599374222,  -3035001.555623416,   5072087.056904289,   2388797.027365529,  -369.8624210903644,  -221.3158036883198,                   0,                   0,                   0,   1.213283050122878,2.695176608268029e-12,5.091369188448608e-19,               14068,                   0,                   0
                 0.5,   120.8935051780724,   22.13891698558052,   99.99921988509595,    90.0057671689531, 0.01417519545121197,   431.0207599376515,  -3035038.541784831,   5072064.925189067,   2388797.027365529,  -369.8608072204357,   -221.318500761862,                   0,                   0,                   0,   1.213283050122878,3.369626638730056e-12,7.958362154043729e-19,               14068,                   0,                   0
                 0.6,   120.8935051780724,   22.13891698558052,   99.99921988602728,   90.00527515285255, 0.01296586307735104,   431.0207599378807,  -3035075.527784859,   5072042.793204138,   2388797.027365529,  -369.8591933308396,  -221.3211978236356,                   0,                   0,                   0,    1.21328305012277,4.043890232964455e-12,1.146195897941346e-18,               14068,                   0,                   0
                 0.7,   120.8935051780724,   22.13891698558052,   99.99921988602728,   90.00392036178538,0.009635905530021095,   431.0207599381099,  -3035112.513623497,   5072020.660949503,   2388797.027365529,  -369.8575794215761,  -221.3238948736405,                   0,                   0,                   0,    1.21328305012277,4.718239671324371e-12,1.560343184561348e-18,               14068,                   0,                   0
                 0.8,   120.8935051780724,   22.13891698558052,   99.99921988602728,    90.0032302195045, 0.00793959634154826,    431.020759938339,  -3035149.499300743,   5071998.528425164,   2388797.027365529,  -369.8559654926455,  -221.3265919118764,                   0,                   0,                   0,    1.21328305012277,5.392316832658388e-12,2.038031706600489e-18,               14068,                   0,                   0
                 0.9,   120.8935051780724,   22.13891698558052,   99.99921988509595,   90.00364391076579,0.008956413175610085,   431.0207599385683,  -3035186.484816594,   5071976.395631121,   2388797.027365529,   -369.854351544048,  -221.3292889383434,                   0,                   0,                   0,   1.213283050122878,6.066910385961709e-12,2.579854972952797e-18,               14068,                   0,                   0
                   1,   120.8935051780724,   22.13891698558052,   99.99921988509595,   90.00368658784517, 0.00906130969307496,   431.0207599387974,   -3035223.47017105,   5071954.262567376,   2388797.027365529,  -369.8527375757834,  -221.3319859530411,                   0,                   0,                   0,   1.213283050122878,6.741073395382385e-12,3.185064590857118e-18,               14068,                   0,                   0
                 1.1,   120.8935051780724,   22.13891698558052,   99.99921988509595,   90.00350036313353,0.008603585687193402,   431.0207599390266,  -3035260.455364108,    5071932.12923393,   2388797.027365529,  -369.8511235878518,  -221.3346829559696,                   0,                   0,                   0,   1.213283050122878,7.41519348405714e-12,3.853941407290673e-18,               14068,                   0,                   0
                 1.2,   120.8935051780724,   22.13891698558052,   99.99921988416463,    90.0038292922543,0.009412064612017178,   431.0207599392558,  -3035297.440395767,   5071909.995630784,   2388797.027365529,  -369.8495095802535,  -221.3373799471286,                   0,                   0,                   0,   1.213283050122987,8.089600597299302e-12,4.586847408279624e-18,               14068,                   0,                   0
                 1.3,   120.8935051780724,   22.13891698558052,   99.99921988416463,   90.00374385013092,0.009202055368223782,   431.0207599394849,  -3035334.425266024,    5071887.86175794,   2388797.027365529,  -369.8478955529884,   -221.340076926518,                   0,                   0,                   0,   1.213283050122987,8.764050636070677e-12,5.383564105558962e-18,               14068,                   0,                   0
                 1.4,   120.8935051780724,   22.13891698558052,   99.99921988602728,   90.00330054079788,0.008112439912962066,   431.0207599397141,  -3035371.409974876,   5071865.727615401,   2388797.027365529,  -369.8462815060568,  -221.3427738941377,                   0,                   0,                   0,   1.213283050122878,9.438070141918525e-12,6.243477253654582e-18,               14068,                   0,                   0
                 1.5,   120.8935051780724,   22.13891698558052,   99.99921988509595,    90.0045887418175, 0.01127872500262894,   431.0207599399434,  -3035408.394522325,   5071843.593203163,   2388797.027365529,  -369.8446674394586,  -221.3454708499874,                   0,                   0,                   0,   1.213283050122878,1.011230555011595e-11,7.167381145029903e-18,               14068,                   0,                   0
                 1.6,   120.8935051780724,   22.13891698558052,   99.99921988602728,    90.0040438369989,0.009939396772048465,   431.0207599401726,  -3035445.378908364,   5071821.458521232,   2388797.027365529,  -369.8430533531939,  -221.3481677940671,                   0,                   0,                   0,    1.21328305012277,1.078636798048496e-11,8.154748982047927e-18,               14068,                   0,                   0
                 1.7,   120.8935051780724,   22.13891698558052,   99.99921988509595,   90.00376971946004,0.009265639909844695,   431.0207599404017,  -3035482.363132993,   5071799.323569605,   2388797.027365529,  -369.8414392472627,  -221.3508647263767,                   0,                   0,                   0,    1.21328305012277,1.146071743741495e-11,9.206270748489439e-18,               14068,                   0,                   0
                 1.8,   120.8935051780724,   22.13891698558052,   99.99921988416463,    90.0041041014366,  0.0100875214725153,    431.020759940631,  -3035519.347196212,   5071777.188348285,   2388797.027365529,  -369.8398251216653,  -221.3535616469159,                   0,                   0,                   0,   1.213283050122987,1.213531098558935e-11,1.032195480396713e-17,               14068,                   0,                   0
                 1.9,   120.8935051780724,   22.13891698558052,   99.99921988509595,   90.00396217326424,0.009738674476894721,   431.0207599408602,  -3035556.331098017,   5071755.052857276,   2388797.027365529,  -369.8382109764017,  -221.3562585556847,                   0,                   0,                   0,   1.213283050122878,1.280947400609109e-11,1.150065898562284e-17,               14068,                   0,                   0
